1,1,This space had a lot of potential but it did not meet my requirements.
1,2,Very poor. I regret taking part in this.
1,3,Awful.
1,4,Good.
1,5,Got everything I needed plus some more!
2,1,Did not have a good time.
2,2,Good company to work with.
2,3,Amazing experience!
2,4,Could have been much better.
2,5,Got everything I needed plus some more!
3,1,Average experience.
3,2,This experience was terrible.
3,3,Did not have a good time.
3,4,Worst warehouse ever.
3,5,Very good experience!
4,1,Very poor. I regret taking part in this.
4,2,Good company to work with.
4,3,Met my requirements just fine.
4,4,Everything was satisfactory.
4,5,This experience was terrible.
5,1,Sad!
5,2,10/10 would work with again.
5,3,Good company to work with.
5,4,Got everything I needed plus some more!
5,5,Did not have a good time.
6,1,Got everything I needed plus some more!
6,2,Very good experience!
6,3,10/10 would work with again.
6,4,Good company to work with.
6,5,Sad!
7,1,It was fine. Nothing special.
7,2,Awful.
7,3,Got everything I needed plus some more!
7,4,Sad!
7,5,Good company to work with.
8,1,Bad company to work with. I would not do so again.
8,2,Got everything I needed plus some more!
8,3,Got everything I needed plus some more!
8,4,This has been the best trade deal in the history of trade deals maybe ever.
8,5,10/10 would work with again.
9,1,This has been the best trade deal in the history of trade deals maybe ever.
9,2,Met my requirements just fine.
9,3,This experience was terrible.
9,4,Got everything I needed plus some more!
9,5,10/10 would work with again.
10,1,This has been the best trade deal in the history of trade deals maybe ever.
10,2,Sad!
10,3,Everything was satisfactory.
10,4,Met my requirements just fine.
10,5,Amazing experience!
11,1,Could have been much better.
11,2,Worst warehouse ever.
11,3,Could have been much better.
11,4,Good company to work with.
11,5,Good company to work with.
12,1,Could have been much better.
12,2,Sad!
12,3,This has been the best trade deal in the history of trade deals maybe ever.
12,4,Everything was satisfactory.
12,5,Good company to work with.
13,1,Everything was satisfactory.
13,2,Everything was satisfactory.
13,3,Bad company to work with. I would not do so again.
13,4,Amazing experience!
13,5,Good.
14,1,10/10 would work with again.
14,2,Average experience.
14,3,Average experience.
14,4,Bad company to work with. I would not do so again.
14,5,Amazing experience!
15,1,Could have been much better.
15,2,Average experience.
15,3,Average experience.
15,4,Met my requirements just fine.
15,5,Amazing experience!
16,1,Everything was satisfactory.
16,2,It was fine. Nothing special.
16,3,10/10 would work with again.
16,4,Could have been much better.
16,5,Did not have a good time.
17,1,Could not have been better!
17,2,10/10 would work with again.
17,3,Everything was satisfactory.
17,4,This has been the best trade deal in the history of trade deals maybe ever.
17,5,Sad!
18,1,Good.
18,2,This space had a lot of potential but it did not meet my requirements.
18,3,10/10 would work with again.
18,4,Got everything I needed plus some more!
18,5,Did not have a good time.
19,1,Could not have been better!
19,2,Got everything I needed plus some more!
19,3,Average experience.
19,4,Worst warehouse ever.
19,5,Everything was satisfactory.
20,1,It was fine. Nothing special.
20,2,Very good experience!
20,3,10/10 would work with again.
20,4,It was fine. Nothing special.
20,5,Everything was satisfactory.
21,1,Worst warehouse ever.
21,2,Could not have been better!
21,3,Could have been much better.
21,4,Everything was satisfactory.
21,5,Everything was satisfactory.
22,1,Good company to work with.
22,2,Did not have a good time.
22,3,Could not have been better!
22,4,Good company to work with.
22,5,Got everything I needed plus some more!
23,1,Got everything I needed plus some more!
23,2,Very poor. I regret taking part in this.
23,3,Good.
23,4,This space had a lot of potential but it did not meet my requirements.
23,5,This experience was terrible.
24,1,Did not have a good time.
24,2,Very good experience!
24,3,Very good experience!
24,4,Met my requirements just fine.
24,5,Did not have a good time.
25,1,Could have been much better.
25,2,This experience was terrible.
25,3,It was fine. Nothing special.
25,4,Met my requirements just fine.
25,5,Very poor. I regret taking part in this.
26,1,Very good experience!
26,2,Average experience.
26,3,Everything was satisfactory.
26,4,Good.
26,5,Worst warehouse ever.
27,1,Met my requirements just fine.
27,2,Sad!
27,3,Bad company to work with. I would not do so again.
27,4,10/10 would work with again.
27,5,Got everything I needed plus some more!
28,1,10/10 would work with again.
28,2,Met my requirements just fine.
28,3,Did not have a good time.
28,4,Did not have a good time.
28,5,Met my requirements just fine.
29,1,Could have been much better.
29,2,Got everything I needed plus some more!
29,3,Good company to work with.
29,4,Could not have been better!
29,5,Good company to work with.
30,1,Could have been much better.
30,2,Very good experience!
30,3,Met my requirements just fine.
30,4,Good.
30,5,This experience was terrible.
31,1,It was fine. Nothing special.
31,2,Very good experience!
31,3,10/10 would work with again.
31,4,Could have been much better.
31,5,Awful.
32,1,This experience was terrible.
32,2,Good.
32,3,Worst warehouse ever.
32,4,Average experience.
32,5,It was fine. Nothing special.
33,1,Good company to work with.
33,2,Very good experience!
33,3,It was fine. Nothing special.
33,4,It was fine. Nothing special.
33,5,Could not have been better!
34,1,Amazing experience!
34,2,Sad!
34,3,Good.
34,4,Good.
34,5,Sad!
35,1,Met my requirements just fine.
35,2,Sad!
35,3,It was fine. Nothing special.
35,4,This has been the best trade deal in the history of trade deals maybe ever.
35,5,10/10 would work with again.
36,1,Good company to work with.
36,2,It was fine. Nothing special.
36,3,Everything was satisfactory.
36,4,It was fine. Nothing special.
36,5,Amazing experience!
37,1,Awful.
37,2,10/10 would work with again.
37,3,Good.
37,4,Amazing experience!
37,5,Good company to work with.
38,1,It was fine. Nothing special.
38,2,Could not have been better!
38,3,Amazing experience!
38,4,Awful.
38,5,Could not have been better!
39,1,Everything was satisfactory.
39,2,Bad company to work with. I would not do so again.
39,3,This has been the best trade deal in the history of trade deals maybe ever.
39,4,Worst warehouse ever.
39,5,Very good experience!
40,1,Could have been much better.
40,2,Very good experience!
40,3,This has been the best trade deal in the history of trade deals maybe ever.
40,4,Bad company to work with. I would not do so again.
40,5,Amazing experience!
41,1,It was fine. Nothing special.
41,2,This has been the best trade deal in the history of trade deals maybe ever.
41,3,Average experience.
41,4,Got everything I needed plus some more!
41,5,Got everything I needed plus some more!
42,1,Very good experience!
42,2,Good company to work with.
42,3,Amazing experience!
42,4,Everything was satisfactory.
42,5,Amazing experience!
43,1,Got everything I needed plus some more!
43,2,Amazing experience!
43,3,Got everything I needed plus some more!
43,4,Worst warehouse ever.
43,5,Average experience.
44,1,Could not have been better!
44,2,Awful.
44,3,This space had a lot of potential but it did not meet my requirements.
44,4,It was fine. Nothing special.
44,5,Could not have been better!
45,1,Good.
45,2,Amazing experience!
45,3,This space had a lot of potential but it did not meet my requirements.
45,4,Worst warehouse ever.
45,5,Awful.
46,1,Got everything I needed plus some more!
46,2,Could not have been better!
46,3,It was fine. Nothing special.
46,4,This has been the best trade deal in the history of trade deals maybe ever.
46,5,Worst warehouse ever.
47,1,Very poor. I regret taking part in this.
47,2,10/10 would work with again.
47,3,Could have been much better.
47,4,Could not have been better!
47,5,Everything was satisfactory.
48,1,Met my requirements just fine.
48,2,Got everything I needed plus some more!
48,3,Very good experience!
48,4,Worst warehouse ever.
48,5,This space had a lot of potential but it did not meet my requirements.
49,1,This space had a lot of potential but it did not meet my requirements.
49,2,This has been the best trade deal in the history of trade deals maybe ever.
49,3,Very good experience!
49,4,Did not have a good time.
49,5,Met my requirements just fine.
50,1,Very good experience!
50,2,Good company to work with.
50,3,Worst warehouse ever.
50,4,Sad!
50,5,It was fine. Nothing special.
51,1,Average experience.
51,2,Good.
51,3,10/10 would work with again.
51,4,Amazing experience!
51,5,Amazing experience!
52,1,Good company to work with.
52,2,Got everything I needed plus some more!
52,3,10/10 would work with again.
52,4,This has been the best trade deal in the history of trade deals maybe ever.
52,5,Average experience.
53,1,This space had a lot of potential but it did not meet my requirements.
53,2,Sad!
53,3,This has been the best trade deal in the history of trade deals maybe ever.
53,4,Awful.
53,5,Awful.
54,1,Good.
54,2,This experience was terrible.
54,3,Did not have a good time.
54,4,Very poor. I regret taking part in this.
54,5,It was fine. Nothing special.
55,1,Did not have a good time.
55,2,Very good experience!
55,3,Sad!
