Warehouse,Space,Address,City,State,price_year,price_month,Type,Space_Available,Building_Size,Ammenities
1,1,512 N Energy Dr.,Rock Springs,Wyoming,12.69,1.06,Industrial,10400,10400,"5 ton crane, 6-14' bay doors (2 drive-thru bays), 1 wash bay, and sprinkler system."
2,2,331 Lexington Ave.,Cheyenne,Wyoming,7,0.58,Industrial,8800,15300,"office plus 2 bathrooms, Building is heated, four 14' overhead doors plus pass doors"
3,3,311 Progress Cir.,Cheyenne,Wyoming,6.98,0.58,Industrial,5500,21112,"Has 2' high covered loading dock,"
4,4,220 Evelyn St,Cheyenne,Wyoming,6.35,0.53,Industrial,8080,79767,"Space available for lease in both 220 Evelyn, a 67,096 square-foot building, and 314 Evelyn, a 45,068 square-foot building. Both have high 26' ceilings, are fully fire sprinklered, provide 3-phase power, have paved lots, and provided gas heaters. 314 Evelyn has two spaces available: a 7,733 SF unit with offices, restrooms, reception area, and a single large dock-high door and a 15,378 SF unit with offices, restrooms, reception area, 3 dock-high doors, and a drive-in door. Because these units are adjacent, they can also be leased together, providing 23,111 SF. Yard is available with the 15,378 SF unit. 220 Evelyn has a 56,656 SF unit available with 5 dock-high doors, 2 drive-in doors, and bathroom. This unit can be leased as is with a low lease rate, or landlord will divide it to as little as 20,000 SF with build-to-suit offices and restrooms. Yard is also available. Renovations are planned this year, which will include major roof work, which will provide a 5- year roof certification, and exterior wall sealing, priming, and painting."
4,5,220 Evelyn St,Cheyenne,Wyoming,6.35,0.53,Industrial,9161,79767,"Space available for lease in both 220 Evelyn, a 67,096 square-foot building, and 314 Evelyn, a 45,068 square-foot building. Both have high 26' ceilings, are fully fire sprinklered, provide 3-phase power, have paved lots, and provided gas heaters. 314 Evelyn has two spaces available: a 7,733 SF unit with offices, restrooms, reception area, and a single large dock-high door and a 15,378 SF unit with offices, restrooms, reception area, 3 dock-high doors, and a drive-in door. Because these units are adjacent, they can also be leased together, providing 23,111 SF. Yard is available with the 15,378 SF unit. 220 Evelyn has a 56,656 SF unit available with 5 dock-high doors, 2 drive-in doors, and bathroom. This unit can be leased as is with a low lease rate, or landlord will divide it to as little as 20,000 SF with build-to-suit offices and restrooms. Yard is also available. Renovations are planned this year, which will include major roof work, which will provide a 5- year roof certification, and exterior wall sealing, priming, and painting."
4,6,220 Evelyn St,Cheyenne,Wyoming,5.95,0.5,Industrial,17246,79767,"Space available for lease in both 220 Evelyn, a 67,096 square-foot building, and 314 Evelyn, a 45,068 square-foot building. Both have high 26' ceilings, are fully fire sprinklered, provide 3-phase power, have paved lots, and provided gas heaters. 314 Evelyn has two spaces available: a 7,733 SF unit with offices, restrooms, reception area, and a single large dock-high door and a 15,378 SF unit with offices, restrooms, reception area, 3 dock-high doors, and a drive-in door. Because these units are adjacent, they can also be leased together, providing 23,111 SF. Yard is available with the 15,378 SF unit. 220 Evelyn has a 56,656 SF unit available with 5 dock-high doors, 2 drive-in doors, and bathroom. This unit can be leased as is with a low lease rate, or landlord will divide it to as little as 20,000 SF with build-to-suit offices and restrooms. Yard is also available. Renovations are planned this year, which will include major roof work, which will provide a 5- year roof certification, and exterior wall sealing, priming, and painting."
5,7,217 W 5th St.,Cheyenne,Wyoming,6.5,0.54,Industrial,1920,1960,"Fenced storage yard, inside plumbing inventory"
6,8,1451 Buiness Cir.,Gillette,Wyoming,9.8,0.82,Industrial,7344,7344,"Fenced Lot, Storage Space, Floor Drains"
7,9,2700 N US Hwy 14,Gillette,Wyoming,7.59,0.63,Industrial,16740,16740,"Gas - Natural, Heating - Gas"
8,10,1938 Wyott Dr.,Cheyenne,Wyoming,7.75,0.65,Industrial,3300,210518,"Fantastic warehouse/distribution center available for Lease at $4.50/sf NNN. Located just off the intersection of I-25 & I-80 the Property provides the flexibility to accommodate tenants from 3,000 sq ft all the way to 150,000 sq ft and also has office space available. In addition, the Property can provide virtually any users power needs with 227/480V 3 phase 4,000 AMP power available. Extensive yard available for outside storage & parking and the building can be situated to accommodate drive around or drive through capability. Ownership is willing to demise space & add overhead AND docks doors per tenants needs."
8,11,1938 Wyott Dr.,Cheyenne,Wyoming,7.75,0.65,Industrial,3300,210518,
8,12,1938 Wyott Dr.,Cheyenne,Wyoming,7.75,0.65,Industrial,3300,210518,
8,13,1938 Wyott Dr.,Cheyenne,Wyoming,5,0.42,Industrial,12700,210518,
8,14,1938 Wyott Dr.,Cheyenne,Wyoming,5,0.42,Industrial,20100,210518,
8,15,1938 Wyott Dr.,Cheyenne,Wyoming,4.5,0.38,Industrial,16900,210518,
8,16,1938 Wyott Dr.,Cheyenne,Wyoming,4.5,0.38,Industrial,50500,210518,
8,17,1938 Wyott Dr.,Cheyenne,Wyoming,4.5,0.38,Industrial,16600,210518,
8,18,1938 Wyott Dr.,Cheyenne,Wyoming,4.5,0.38,Industrial,33600,210518,
8,19,1938 Wyott Dr.,Cheyenne,Wyoming,12,1,Office/Industrial,7500,210518,
9,20,2632 Industry Dr.,Cheyenne,Wyoming,10.25,0.85,Industrial,14520,14520,"fenced yard, 4, 16'x14' drive in doors with drive through and drive around capabilities"
10,21,1010 Falcon Ave,Mills,Wyoming,9,0.75,Office/Industrial,10700,28390,"Good office, shop and fenced yard, Lighting - Sodium Gas Water - City Water Sewer - City Sewer Heating - Gas"
11,22,1120 Logan Ave,Cheyenne,Wyoming,14.96,1.25,Office/Industrial,1600,2600,"Wonderful office or retail space. Currently occupied by chiropractors office. Space will be available in November 2018. Very nice common area kitchen included. $1995/mo!

Additional Warehouse space in back with overhead door. Separate office, private bathroom and shower included. Perfect for a contractor, Auto detailing/mechanic use, gym/fitness use and other opportunities! $995/mo!"
11,23,1120 Logan Ave,Cheyenne,Wyoming,11.94,1,Industrial,1000,2600,
12,24,1920 Missile Dr.,Cheyenne,Wyoming,6.57,0.55,Industrial,2300,12600,office and restroom and 14 ft automatic door.
12,25,1920 Missile Dr.,Cheyenne,Wyoming,6.51,0.54,Industrial,3040,12600,
13,26,1800 Opportunity Blvd,Casper,Wyoming,10,0.83,Industrial,11000,11000,"Floor Drains , Yard"
14,27,802-810 N Foster Rd,Casper,Wyoming,10,0.83,Industrial,2500,7500,Mezzanine
15,28,1733 E Yellowstone Hwy,Casper,Wyoming,6.86,0.57,Office/Industrial,3150,7700,kitchenette and break room
16,29,190 S College Dr.,Cheyenne,Wyoming,10,0.83,Industrial,9000,12000,private restrooms
17,30,518 N US Highway 14-16,Gillette,Wyoming,12,1,Industrial,2040,11800,Lighting Gas - Natural Water - City Water Sewer - City Sewer Heating - Gas
17,31,518 N US Highway 14-16,Gillette,Wyoming,12,1,Industrial,2040,11800,
18,32,3851 E Collins Rd,GIllette,Wyoming,14.49,1.21,Industrial,8800,8860,"Fenced Lot, Security System"
19,33,620 N US Highway 14-16,Gillette,Wyoming,12.5,1.04,Industrial,3000,18000,Gas - Natural Water - City Water Sewer - City Sewer Heating - Gas
20,34,612 N US Highway 14-16,Gillette,Wyoming,12,1,Industrial,3360,14800,"snow removal, garbage and landscaping."
21,35,1935 Cooper St,Missoula,Montana,12,1,Industrial,2400,2400,"High visibility, two-bay auto service center right in the middle of town. Properties like this are extremely rare in Missoula. This 2,400sf +/- facility has a sign that is prominently displayed for passing traffic on Broadway with its 19,228 cars per day passing by the site. Two service pits with work platform on site. Bright and open waiting room with service counter, two bathrooms and mezzanine also included. Work bay has gas unit heater and waiting area has gas forced air heat. Lot is approximately .36 acres."
22,36,2601 Overland Ave.,Billings,Montana,9.75,0.81,Industrial,4403,4403,"Suite 1 for LEASE - Price Notes Monthly Lease Rate! High quality, newly constructed commercial space in a convenient west end location close to King Avenue & S 24th Street W. Includes restroom, shared-use loading dock, light storage mezzanine with fork lift gate, large warehouse space accessible by main 16'x16' & also rear 12'X12' overhead doors, customizable open & well-lit office space that is heated/cooled, heated warehouse space, fenced perimeter. Street frontage with paved parking lot. 
Call agent for showings 406-671-8163. $9.75 PSF, NNN (approx. $646/mn). Separate electric & gas meters, shared water meter. 50% water, lawn maintenance, & snow removal to be billed monthly to tenant. Nice, comfortable, clean, open and well-lit space."
23,37,5360 Southgate Dr.,Billings,Montana,6.5,0.54,Industrial,25000,25000,"Legal description: Lot 7A Block 3 Southgate Subdivision 1st Filing - Approx. 3.2 acres. Main shop: Built in 2001, Approx. 14,870 sqft - with 2,080 sqft of office/retail space. 7 overhead doors, radiant heat at shop. Warehouse: Built in 2001, Approx. 10,125 sqft. 3 overhead doors. Motion sensor lighting."
24,38,54 Ginger Bear Ln,Bozeman,Montana,9.5,0.79,Industrial,3600,3600,"3600 Sqft Of Shops with offices with one shower, Larger unit has 2nd floor offices. 16 Foot side walls pull through 12X14 ft doors with electric operators . $2850 Per Month Gross . M-1 Zoned Light manufacturing / warehousing space. 3 Year Lease. Broker Owned. Ready July 1"
25,39,7201 Expressway,Missoula,Montana,9.5,0.79,Industrial,20000,20000,"We will work with you and our designer/builder to customize the space to your liking at a long term lease rate that makes sense for your business. From lease signing to occupancy is estimated at 6-9 months, depending upon final design and permitting specifics. Build-to-suit can be a great way for your business to get the space it needs without sinking capital in real estate."
26,40,1943 Main St,Billings,Montana,9.485,0.79,Industrial,1330,10060,
26,41,1943 Main St,Billings,Montana,9.485,0.79,Industrial,800,10060,
26,42,1943 Main St,Billings,Montana,9.485,0.79,Retail/Industrial,2500,10060,
26,43,1943 Main St,Billings,Montana,9.485,0.79,Office/Industrial,3500,10060,
26,44,1943 Main St,Billings,Montana,9.485,0.79,Office/Industrial,1800,10060,
27,45,610 W Griffin Dr.,Bozeman,Montana,11.32,0.94,Industrial,2650,8000,
28,46,330-334 Fuller Ave,Helena,Montana,6,0.5,Industrial,500,2300,
28,47,330-334 Fuller Ave,Helena,Montana,6,0.5,Industrial,500,2300,
28,48,330-334 Fuller Ave,Helena,Montana,6,0.5,Industrial,500,2300,
28,49,330-334 Fuller Ave,Helena,Montana,6,0.5,Industrial,500,2300,
29,50,706 Daniels St,Billings,Montana,9,0.75,Industrial,20000,119757,Centrally located in the industrial hub of Billings. Easy access on & off the interstate 90. Great distribution location. Secured yard. Group 2 fire sprinklers throughout. 6 dock high doors.
29,51,706 Daniels St,Billings,Montana,9,0.75,Industrial,1000,119757,
30,52,5 Wall St,Montana City,Montana,5.04,0.42,Industrial,11200,11200,"Great open warehouse lease space in Montana City. Currently used as a gym. Very clean. Viewing mezzanine. Handicap accessible bathrooms. Occupancy available June 1, 2018 or possibly sooner."
31,53,2330 N Frontae Rd,Billings,Montana,10.24,0.85,Industrial,13200,13200,
32,54,3102 W Broadway St,Missoula,Montana,10.46,0.87,Industrial,2173,11872,"Hard to find warehouse/workshop space in town now available. Approximately 2,173 sf warehouse/ workshop space in town on W Broadway. The space has access via a personnel door and one 8'x8’ overhead door. Square footage includes a 16'x32’ mezzanine. Heat provided by an overhead gas forced air heater unit. Two parking spots are provided. Three phase power available, 24’ ceilings. $1,895/mo gross + utility bill back pro rata. Short term leases possible with the possibility of adding one or more offices at $100/mo extra. This unit has access to a common area bathroom. Please call or text Matt at 406-203-3950 for additional information or to arrange a showing. The listing agent is one of the owners of the building."
33,55,Yukon Ln,Belgrade,Montana,10,0.83,Industrial,12275,19100,
